월(Monthly),시도명,시군구,승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계,,,,,,,,,,,,,,,,,,,,,,,
월(Monthly),시도명,시군구,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,세종,계,362,176,829,1,192,178,383,252,3,243,585,4,80,268,15,98,1,978,17,344,65,634,172,871,947,195,804,3,927,200,678,,,,,,,,,,,,
Jul-24,경기,가평군,152,25,491,238,25,881,85,1,139,136,1,360,160,6,617,202,6,979,23,125,44,192,420,33,372,620,34,412,,,,,,,,,,,,,,,
Jul-24,경기,고양시 덕양구,312,173,964,1,853,176,129,158,4,73,380,4,611,196,19,305,2,674,22,175,22,449,287,758,688,197,791,5,194,203,673,,,,,,,,,,,,
Jul-24,경기,고양시 일산동구,105,115,64,3,279,118,448,76,2,442,614,3,132,82,13,100,2,177,15,359,10,357,160,527,273,130,963,6,230,137,466,,,,,,,,,,,,
Jul-24,경기,고양시 일산서구,70,105,451,2,461,107,982,21,2,75,610,2,706,36,9,373,1,516,10,925,1,222,136,359,128,117,121,4,723,121,972,,,,,,,,,,,,
Jul-24,경기,과천시,471,30,484,309,31,264,103,531,35,669,123,1,924,458,2,505,15,83,10,108,712,33,22,812,34,546,,,,,,,,,,,,,,,,,
Jul-24,경기,광명시,128,88,267,1,768,90,163,71,2,285,426,2,782,107,10,207,2,371,12,685,11,214,202,427,317,100,973,4,767,106,57,,,,,,,,,,,,
Jul-24,경기,광주시,191,171,202,871,172,264,96,4,742,2,356,7,194,128,30,581,5,473,36,182,16,693,362,1,71,431,207,218,9,62,216,711,,,,,,,,,,,
Jul-24,경기,구리시,92,61,374,1,118,62,584,75,1,524,279,1,878,98,8,378,1,434,9,910,12,187,152,351,277,71,463,2,983,74,723,,,,,,,,,,,,
Jul-24,경기,군포시,130,87,915,829,88,874,76,2,118,171,2,365,92,9,23,3,904,13,19,10,180,254,444,308,99,236,5,158,104,702,,,,,,,,,,,,,
Jul-24,경기,김포시,256,202,176,2,544,204,976,114,5,45,1,625,6,784,201,30,908,4,489,35,598,9,694,699,1,402,580,238,823,9,357,248,760,,,,,,,,,,
Jul-24,경기,남양주시,362,269,625,2,200,272,187,200,7,140,1,19,8,359,222,42,998,6,383,49,603,27,1,81,502,1,610,811,320,844,10,104,331,759,,,,,,,,,
Jul-24,경기,동두천시,90,31,845,670,32,605,43,1,195,72,1,310,82,5,308,693,6,83,11,93,50,154,226,38,441,1,485,40,152,,,,,,,,,,,,,,
Jul-24,경기,부천시,6,99,3,108,0,38,10,48,0,129,8,137,0,0,1,1,6,266,22,294,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,경기,부천시 소사구,47,73,163,1,763,74,973,19,2,145,116,2,280,31,8,295,1,236,9,562,1,169,174,344,98,83,772,3,289,87,159,,,,,,,,,,,,
Jul-24,경기,부천시 오정구,38,51,760,919,52,717,32,1,923,443,2,398,30,9,899,1,724,11,653,4,171,179,354,104,63,753,3,265,67,122,,,,,,,,,,,,,
Jul-24,경기,부천시 원미구,194,129,40,2,886,132,120,150,3,479,599,4,228,156,15,793,3,292,19,241,24,330,203,557,524,148,642,6,980,156,146,,,,,,,,,,,,
Jul-24,경기,성남시 분당구,200,178,860,4,377,183,437,56,2,388,1,380,3,824,104,7,696,1,914,9,714,10,360,204,574,370,189,304,7,875,197,549,,,,,,,,,,,
Jul-24,경기,성남시 수정구,170,71,997,1,518,73,685,61,2,104,223,2,388,77,7,603,1,588,9,268,3,200,160,363,311,81,904,3,489,85,704,,,,,,,,,,,,
Jul-24,경기,성남시 중원구,217,63,511,2,48,65,776,58,2,116,270,2,444,103,8,855,1,596,10,554,17,178,140,335,395,74,660,4,54,79,109,,,,,,,,,,,,
Jul-24,경기,수원시 권선구,131,181,584,4,803,186,518,172,4,632,1,508,6,312,159,20,521,3,111,23,791,22,548,559,1,129,484,207,285,9,981,217,750,,,,,,,,,,
Jul-24,경기,수원시 영통구,285,143,139,1,943,145,367,106,2,88,130,2,324,66,6,716,1,485,8,267,3,265,136,404,460,152,208,3,694,156,362,,,,,,,,,,,,
Jul-24,경기,수원시 장안구,247,98,387,996,99,630,149,2,738,513,3,400,103,8,309,2,170,10,582,13,222,120,355,512,109,656,3,799,113,967,,,,,,,,,,,,,
Jul-24,경기,수원시 팔달구,126,72,993,1,352,74,471,59,2,443,66,2,568,90,6,501,1,962,8,553,20,169,99,288,295,82,106,3,479,85,880,,,,,,,,,,,,
Jul-24,경기,시흥시,173,226,69,1,825,228,67,112,6,445,460,7,17,155,37,399,6,402,43,956,23,717,509,1,249,463,270,630,9,196,280,289,,,,,,,,,,,
Jul-24,경기,안산시 단원구,203,137,315,2,581,140,99,152,5,16,1,120,6,288,227,22,904,4,8,27,139,12,400,331,743,594,165,635,8,40,174,269,,,,,,,,,,,
Jul-24,경기,안산시 상록구,85,122,168,2,149,124,402,41,3,924,650,4,615,33,18,346,2,608,20,987,3,429,362,794,162,144,867,5,769,150,798,,,,,,,,,,,,
Jul-24,경기,안성시,166,93,637,705,94,508,99,3,62,516,3,677,134,19,291,3,379,22,804,15,997,297,1,309,414,116,987,4,897,122,298,,,,,,,,,,,,
Jul-24,경기,안양시 동안구,148,115,53,2,285,117,486,117,2,117,591,2,825,122,9,970,3,823,13,915,11,336,171,518,398,127,476,6,870,134,744,,,,,,,,,,,,
Jul-24,경기,안양시 만안구,93,73,810,1,275,75,178,27,2,174,908,3,109,38,9,86,1,595,10,719,0,193,128,321,158,85,263,3,906,89,327,,,,,,,,,,,,
Jul-24,경기,양주시,185,114,875,698,115,758,89,3,758,441,4,288,173,19,838,2,973,22,984,13,509,245,767,460,138,980,4,357,143,797,,,,,,,,,,,,,
Jul-24,경기,양평군,241,53,555,425,54,221,101,1,707,535,2,343,259,12,241,892,13,392,13,292,85,390,614,67,795,1,937,70,346,,,,,,,,,,,,,,
Jul-24,경기,여주시,191,53,330,343,53,864,86,2,15,649,2,750,203,14,255,6,520,20,978,9,313,344,666,489,69,913,7,856,78,258,,,,,,,,,,,,,
Jul-24,경기,연천군,89,17,502,73,17,664,71,722,235,1,28,156,6,345,4,118,10,619,7,139,491,637,323,24,708,4,917,29,948,,,,,,,,,,,,,,
Jul-24,경기,오산시,92,105,533,1,172,106,797,62,2,776,545,3,383,64,10,494,2,528,13,86,10,311,184,505,228,119,114,4,429,123,771,,,,,,,,,,,,
Jul-24,경기,용인시 기흥구,53,184,959,3,319,188,331,39,3,392,705,4,136,49,11,677,3,658,15,384,13,503,207,723,154,200,531,7,889,208,574,,,,,,,,,,,,
Jul-24,경기,용인시 수지구,27,144,238,724,144,989,13,1,849,128,1,990,23,5,27,1,411,6,461,0,236,41,277,63,151,350,2,304,153,717,,,,,,,,,,,,,
Jul-24,경기,용인시 처인구,383,120,569,1,571,122,523,175,3,892,1,430,5,497,237,21,522,4,863,26,622,19,672,446,1,137,814,146,655,8,310,155,779,,,,,,,,,,
Jul-24,경기,의왕시,116,58,929,400,59,445,94,1,248,179,1,521,88,5,724,2,72,7,884,9,137,324,470,307,66,38,2,975,69,320,,,,,,,,,,,,,
Jul-24,경기,의정부시,284,151,580,2,37,153,901,269,4,481,451,5,201,196,18,120,2,955,21,271,29,543,271,843,778,174,724,5,714,181,216,,,,,,,,,,,,
Jul-24,경기,이천시,208,101,940,990,103,138,90,3,365,755,4,210,130,19,46,4,338,23,514,16,469,548,1,33,444,124,820,6,631,131,895,,,,,,,,,,,,
Jul-24,경기,파주시,270,212,33,2,512,214,815,98,5,477,2,687,8,262,171,31,53,6,303,37,527,20,682,295,997,559,249,245,11,797,261,601,,,,,,,,,,,
Jul-24,경기,평택시,361,287,714,3,786,291,861,163,7,723,2,224,10,110,255,35,778,7,462,43,495,25,976,1,30,2,31,804,332,191,14,502,347,497,,,,,,,,,
Jul-24,경기,포천시,183,66,170,4,341,70,694,76,2,721,771,3,568,156,20,776,2,458,23,390,14,366,383,763,429,90,33,7,953,98,415,,,,,,,,,,,,
Jul-24,경기,하남시,206,122,932,942,124,80,90,2,521,352,2,963,150,15,676,2,285,18,111,12,338,154,504,458,141,467,3,733,145,658,,,,,,,,,,,,,
Jul-24,경기,화성시,404,449,154,2,876,452,434,226,10,201,2,719,13,146,294,64,183,8,208,72,685,75,1,664,683,2,422,999,525,202,14,486,540,687,,,,,,,,,
Jul-24,경기,계,8,181,5,440,456,77,777,5,526,414,4,270,140,989,32,32,177,291,5,759,716,790,136,719,859,268,632,18,212,12,362,31,206,18,842,6,316,447,258,890,6,594,179
Jul-24,충북,괴산군,75,15,389,125,15,589,57,762,54,873,78,7,968,257,8,303,11,90,29,130,221,24,209,465,24,895,,,,,,,,,,,,,,,,,
Jul-24,충북,단양군,71,11,115,144,11,330,51,455,94,600,115,4,878,384,5,377,4,92,227,323,241,16,540,849,17,630,,,,,,,,,,,,,,,,,
Jul-24,충북,보은군,71,12,91,115,12,277,58,611,89,758,109,6,379,616,7,104,16,73,63,152,254,19,154,883,20,291,,,,,,,,,,,,,,,,,
Jul-24,충북,영동군,90,17,427,116,17,633,61,687,90,838,115,8,201,182,8,498,13,90,42,145,279,26,405,430,27,114,,,,,,,,,,,,,,,,,
Jul-24,충북,옥천군,72,20,104,186,20,362,59,809,84,952,82,8,145,685,8,912,11,150,89,250,224,29,208,1,44,30,476,,,,,,,,,,,,,,,,
Jul-24,충북,음성군,78,46,959,298,47,335,71,2,83,205,2,359,114,13,789,1,420,15,323,14,231,141,386,277,63,62,2,64,65,403,,,,,,,,,,,,,
Jul-24,충북,제천시,104,54,604,700,55,408,82,1,690,181,1,953,156,13,682,1,724,15,562,11,342,892,1,245,353,70,318,3,497,74,168,,,,,,,,,,,,
Jul-24,충북,증평군,34,17,220,160,17,414,26,530,35,591,31,3,230,590,3,851,7,66,50,123,98,21,46,835,21,979,,,,,,,,,,,,,,,,,
Jul-24,충북,진천군,78,45,243,297,45,618,66,1,487,84,1,637,87,9,263,1,89,10,439,6,223,84,313,237,56,216,1,554,58,7,,,,,,,,,,,,,
Jul-24,충북,청원군,1,8,0,9,0,3,0,3,0,8,0,8,0,0,0,0,1,19,0,20,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,충북,청주시 상당구,207,87,777,1,99,89,83,117,2,141,370,2,628,178,12,82,1,120,13,380,16,340,267,623,518,102,340,2,856,105,714,,,,,,,,,,,,
